Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Netskope,https://www.crunchbase.com/organization/netskope,"Cloud Security, Cyber Security, Enterprise Software, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-10-08,day,,,2018-11-13,168700000,USD,168700000,Series F,168700000,USD,168700000,Late Stage Venture,"Accel, Dell Technologies Capital, ICONIQ Capital, Lightspeed Venture Partners, Sapphire Ventures",8
Zscaler,https://www.crunchbase.com/organization/zscaler,"Cloud Security, Cyber Security, Enterprise Software, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2008-01-01,year,2018-03-16,day,2017-08-08,,,,Secondary Market,110000000,USD,110000000,IPO,"CapitalG, EquityZen, Lightspeed Venture Partners, TPG Growth",4
OneLogin,https://www.crunchbase.com/organization/onelogin,"Big Data, Cloud Security, Enterprise Software, Identity Management, Information Technology, SaaS, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2009-01-01,year,,,2019-01-10,100000000,USD,100000000,Series D,100000000,USD,100000000,Late Stage Venture,"CRV, Greenspring Associates, Jim Patterson, Scale Venture Partners, Social Capital",8
TrapX Security,https://www.crunchbase.com/organization/trapx-security,"Cloud Security, Computer Vision, Cyber Security, Network Security, Real Time, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-01-01,year,,,2019-07-01,18000000,USD,18000000,Series C,18000000,USD,18000000,Late Stage Venture,"BRM Capital, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures",7
Bitdefender,https://www.crunchbase.com/organization/bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",European Union (EU),2001-01-01,year,,,2017-12-01,180000000,USD,180000000,Secondary Market,7000000,USD,7000000,,"Balkan Accession Fund, Romanian-American Enterprise Fund, Vitruvian Partners",3
Duo Security,https://www.crunchbase.com/organization/duo-security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, SaaS","Ann Arbor, Michigan, United States","Great Lakes, Midwestern US",2009-01-01,year,2018-08-02,day,2017-10-18,70000000,USD,70000000,Series D,70000000,USD,70000000,M&A,"GV, Index Ventures, Redpoint, True Ventures, Workday",12
Twistlock,https://www.crunchbase.com/organization/twistlock,"Cloud Security, Enterprise Software, Information Technology, Security","Portland, Oregon, United States","West Coast, Western US",2015-01-09,day,2019-05-29,day,2018-08-15,33000000,USD,33000000,Series C,33000000,USD,33000000,M&A,"Dell Technologies Capital, ICONIQ Capital, Polaris Partners, TenEleven Ventures, YL Ventures",6
Aqua Security,https://www.crunchbase.com/organization/aquasecurity,"Cloud Security, Compliance, Cyber Security, Security, Software, Virtualization","Ramat Gan, Tel Aviv, Israel",,2015-01-01,year,,,2019-04-03,62000000,USD,62000000,Series C,62000000,USD,62000000,Late Stage Venture,"Insight Partners, Lightspeed Venture Partners, M12, Shlomo Kramer, TLV Partners",5
Contrast Security,https://www.crunchbase.com/organization/contrast-security,"Cloud Security, Cyber Security, Developer Tools, Enterprise Applications, Enterprise Software, Security, Software","Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2019-02-28,65000000,USD,65000000,Series D,65000000,USD,65000000,Late Stage Venture,"AXA Venture Partners, Battery Ventures, General Catalyst, John Thompson, Warburg Pincus",9
Illumio,https://www.crunchbase.com/organization/illumio,"Cloud Security, Cyber Security, Data Center, Enterprise Software, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-02-07,65000000,USD,65000000,Series E,65000000,USD,65000000,Late Stage Venture,"8VC, Andreessen Horowitz, Juniper Networks, Marc Benioff, Valor Capital Group",17
